pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
11480,0.92,#151610,0.06,#403d38,0.01,#372f25,0.0,#39342a,0.0,#313430,0.0,#31312e,0.0,#7a7167,0.0,#33332c
11481,0.97,#171812,0.01,#5b554b,0.01,#3e3d37,0.0,#433f37,0.0,#3f3d3a,0.0,#42382f,0.0,#3d3b3a,0.0,#9c9087
11482,0.88,#141510,0.08,#3c3934,0.02,#322a21,0.01,#362f26,0.01,#6f675d,0.0,#2d302c,0.0,#2d2e27,0.0,#635b50
11483,0.88,#1f221e,0.05,#8b8576,0.03,#e4dfd5,0.01,#666254,0.01,#5d594d,0.01,#bdb6a3,0.01,#b1a998,,
11484,0.9,#1f221e,0.05,#8b8576,0.03,#e7e2d8,0.01,#666255,0.01,#bdb5a3,0.01,#b1a897,0.01,#5d594e,,
11485,0.9,#1f221e,0.05,#8b8676,0.03,#e8e4da,0.01,#666254,0.01,#bcb5a2,0.01,#5d594d,0.0,#b1a897,,
11486,1.0,#161712,0.0,#635c53,0.0,#403d3b,0.0,#afa294,0.0,#4a4338,0.0,#898076,0.0,#897d75,0.0,#473d35
11487,0.88,#13140f,0.07,#3a3833,0.03,#302920,0.01,#322e25,0.01,#6d675d,0.0,#2b2f2b,0.0,#2b2d26,0.0,#5f5a50
11488,1.0,#171712,0.0,#6c6359,0.0,#b9ad9d,0.0,#484239,0.0,#4b453a,0.0,#47453d,,,,
11489,0.88,#1f221d,0.06,#8e8978,0.02,#d5d0c4,0.01,#b9b4a1,0.01,#666253,0.01,#b0a996,0.01,#5c594d,0.0,#5f5c5b
11490,0.88,#1e211c,0.06,#8e8878,0.02,#d7d2c5,0.01,#b9b4a1,0.01,#656254,0.01,#b0a996,0.01,#5c594d,,
11491,0.89,#1e201c,0.05,#8b8676,0.02,#dad5c9,0.01,#656253,0.01,#bab4a1,0.01,#b0a997,0.0,#5c584d,,
11492,0.9,#1e211c,0.05,#8a8576,0.02,#e1ddd3,0.01,#666354,0.01,#bab5a2,0.01,#5c594e,0.01,#afa996,,
11493,0.89,#1e201c,0.05,#898475,0.02,#e0dbd0,0.01,#666254,0.01,#bab5a2,0.01,#5b584d,0.01,#afa896,,
11494,0.88,#1d201c,0.06,#8c8777,0.02,#d8d2c6,0.01,#b9b4a1,0.01,#666354,0.01,#b0a996,0.01,#5c594e,,
11495,0.98,#161916,0.01,#3c3c3c,0.0,#3e3d3c,0.0,#575450,0.0,#3e3b37,0.0,#99948e,0.0,#433f3a,0.0,#7b7570
11496,0.93,#141714,0.06,#3b3b39,0.01,#332f29,0.0,#2f3432,0.0,#2d3130,0.0,#35332d,0.0,#76716c,0.0,#323130
11497,0.82,#171914,0.09,#8b8675,0.04,#d7d3c8,0.02,#625f4f,0.01,#b8b3a2,0.01,#585449,0.01,#ada696,,
11498,0.82,#171915,0.09,#8b8675,0.04,#d7d3c9,0.02,#635f4f,0.01,#b7b2a2,0.01,#585448,0.01,#ada695,,
11499,0.8,#171915,0.11,#8b8675,0.04,#d6d2c8,0.01,#b7b2a1,0.01,#625e4f,0.01,#585448,0.01,#ada695,0.0,#5b5855
11500,0.79,#181a15,0.11,#8b8574,0.04,#d6d2c8,0.02,#b7b2a1,0.01,#635f4f,0.01,#585448,0.01,#ada695,,
11501,0.79,#1b1d18,0.11,#8b8675,0.04,#d7d3c8,0.02,#635f50,0.02,#b8b2a2,0.01,#595448,0.01,#ada695,,
11502,0.79,#1e1f1a,0.11,#8a8574,0.04,#d8d4ca,0.02,#635f50,0.02,#b7b2a2,0.01,#585347,0.01,#ada696,,
11503,0.79,#1e1f1a,0.09,#8a8574,0.05,#585449,0.03,#d9d5cb,0.02,#625e4f,0.01,#b7b2a2,0.01,#ada697,0.0,#5a5856
