pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
2911,0.91,#12100d,0.05,#5f2b21,0.01,#7f5448,0.01,#a1685a,0.01,#734638,0.0,#b88774,0.0,#c49b8d,0.0,#99503d
2912,0.92,#110f0d,0.05,#5f2b23,0.01,#815449,0.01,#a26a5e,0.01,#74473a,0.0,#c59f93,0.0,#b88a77,0.0,#7e3c42
2913,0.91,#110f0d,0.05,#5d2a21,0.01,#7b5246,0.01,#9d6558,0.01,#704437,0.0,#b28371,0.0,#bf9687,0.0,#944c3b
2914,0.92,#110f0d,0.05,#622c24,0.01,#83554a,0.01,#a46c5e,0.01,#73483a,0.0,#c9a599,0.0,#ba8c78,0.0,#823f42
2915,0.91,#110f0d,0.05,#5f2a22,0.01,#7f5447,0.01,#a06659,0.01,#714537,0.0,#c19889,0.0,#b48473,0.0,#954b3c
2916,0.91,#110f0c,0.05,#5d2921,0.01,#7c5245,0.01,#9d6456,0.01,#6f4335,0.0,#bf9585,0.0,#b0826f,0.0,#934c37
2917,0.91,#100f0c,0.06,#5b2920,0.01,#795144,0.01,#9b6255,0.01,#6e4334,0.0,#bd9483,0.0,#af806f,0.0,#8f4839
2918,0.92,#110f0d,0.05,#602c23,0.01,#7f5347,0.01,#a26a5c,0.01,#734638,0.0,#c39b8d,0.0,#b58774,0.0,#78403f
2919,0.91,#100f0d,0.06,#5e2a22,0.01,#7d5246,0.01,#9e6558,0.01,#714537,0.0,#c09889,0.0,#b38471,0.0,#924839
2920,0.91,#100e0d,0.05,#5d2922,0.01,#7c5146,0.01,#9e6559,0.01,#6f4336,0.0,#bf9487,0.0,#b08171,0.0,#944b3b
2921,0.92,#11100d,0.05,#632e24,0.01,#885a4d,0.01,#754c3d,0.01,#a67161,0.0,#c9aa9e,0.0,#bc8f7c,0.0,#9e5643
2922,0.92,#110f0d,0.05,#632d25,0.01,#86574c,0.01,#a66f62,0.01,#76493c,0.0,#caaaa1,0.0,#bc8e7d,0.0,#9b4f3d
2923,0.92,#100f0c,0.05,#5f2b22,0.01,#805347,0.01,#a0685a,0.01,#714638,0.0,#c39b8f,0.0,#b68674,0.0,#974d3a
2924,0.92,#100f0c,0.05,#5e2b22,0.01,#7e5448,0.01,#a0695c,0.01,#724639,0.0,#b68775,0.0,#c39e91,0.0,#984f3c
2925,0.84,#1c1410,0.1,#673028,0.02,#775d4a,0.02,#8a7564,0.01,#f3ede5,0.0,#b19d8e,0.0,#cab5a2,0.0,#b13935
2926,0.85,#1c1410,0.1,#673027,0.02,#785d4a,0.02,#8a7664,0.01,#f3ede5,0.0,#b19a88,0.0,#cab6a1,0.0,#ae3733
2927,0.84,#1c140f,0.1,#673028,0.02,#785d4a,0.02,#8a7564,0.01,#f3ede5,0.0,#b19c8c,0.0,#cab5a1,0.0,#ae3634
2928,0.84,#1c1410,0.1,#673028,0.02,#785d4a,0.01,#8b7665,0.01,#f3ede5,0.0,#b29b8a,0.0,#c7b39d,0.0,#ae3534
2929,0.84,#1c140f,0.1,#673028,0.02,#785d4a,0.02,#8b7563,0.01,#f3ece4,0.0,#b49e8b,0.0,#c5b19f,0.0,#af3834
2930,0.84,#1c140f,0.1,#673028,0.02,#795d4a,0.02,#8a7564,0.01,#f3ede5,0.0,#b19a87,0.0,#c6b29e,0.0,#b03735
2931,0.85,#1b1310,0.1,#673029,0.02,#775c4b,0.02,#897564,0.01,#f2ece5,0.0,#b49d8d,0.0,#c6b19d,0.0,#ab3333
2932,0.84,#1c140f,0.1,#673028,0.02,#795d4a,0.02,#8b7664,0.01,#f3ede4,0.0,#b69d89,0.0,#c6b39e,0.0,#ad3433
2933,0.85,#1c140f,0.1,#673028,0.02,#785d4a,0.02,#8a7664,0.01,#f3ede5,0.0,#c7b39f,0.0,#b29b8a,0.0,#ad3433
2934,0.84,#1d150f,0.1,#673027,0.02,#785d49,0.02,#8a7664,0.01,#f2ede4,0.0,#b49a86,0.0,#c8b4a0,0.0,#b03935
2935,0.85,#1c1410,0.1,#673029,0.02,#775d4a,0.02,#8b7666,0.01,#f2ece4,0.0,#b59987,0.0,#c5b19f,0.0,#af3a38
2936,0.85,#1c1410,0.1,#673028,0.02,#785d4a,0.02,#8a7665,0.01,#f4eee5,0.0,#b29987,0.0,#c7b39e,0.0,#ae3635
2937,0.85,#1c1410,0.1,#673028,0.02,#775d4a,0.02,#8a7564,0.01,#f3ede6,0.0,#c7b3a0,0.0,#b19987,0.0,#ae3432
2938,0.84,#1c140f,0.1,#673027,0.02,#785d4a,0.02,#8b7564,0.01,#f3ede5,0.0,#b19a87,0.0,#c6b29e,0.0,#b03834
2939,0.85,#1c1410,0.1,#673028,0.02,#775d4a,0.02,#8a7665,0.01,#f3ece4,0.0,#b59e8c,0.0,#c6b29f,0.0,#b13a35
2940,0.84,#1c140f,0.1,#673027,0.02,#775d49,0.02,#8b7765,0.01,#f3ede5,0.0,#c7b39f,0.0,#b19786,0.0,#af3532
2941,0.84,#1c140f,0.1,#673028,0.02,#785c4a,0.02,#8b7664,0.01,#f3ece4,0.0,#b69e8c,0.0,#c6b19f,0.0,#ae3533
2942,0.84,#1c1410,0.1,#673028,0.02,#785d4a,0.02,#8c7765,0.01,#f4eee5,0.0,#b29987,0.0,#c8b49f,0.0,#ad3433
2943,0.84,#1c1510,0.1,#673128,0.02,#785d4a,0.02,#8c7765,0.01,#f3ede5,0.0,#b29985,0.0,#c6b19d,0.0,#ae3534
2944,0.84,#1d1410,0.1,#673028,0.02,#795d4a,0.02,#8c7764,0.01,#f3ede4,0.0,#b49a86,0.0,#c5b29d,0.0,#ae3633
2945,0.84,#1c1410,0.1,#673028,0.02,#785d4a,0.02,#8b7664,0.01,#f3ede5,0.0,#b19786,0.0,#c8b39f,0.0,#ae3634
2946,0.84,#1c1410,0.1,#673028,0.02,#795d4a,0.02,#8c7766,0.01,#f3ede4,0.0,#b39b8a,0.0,#c6b19f,0.0,#b03935
2947,0.84,#1c1410,0.1,#673028,0.02,#785d4a,0.02,#8b7765,0.01,#f3ede5,0.0,#b29988,0.0,#c7b29f,0.0,#ad3533
2948,0.84,#1c140f,0.1,#673027,0.02,#785d49,0.02,#8b7764,0.01,#f3ede4,0.0,#b39b8a,0.0,#c5b09c,0.0,#ad3632
2949,0.85,#1c140f,0.1,#673128,0.02,#775d49,0.02,#8b7664,0.01,#f2ece4,0.0,#b59e8c,0.0,#c6b29e,0.0,#af3733
2950,0.85,#1c140f,0.1,#663128,0.02,#775d49,0.02,#8b7765,0.01,#f3ede4,0.0,#c7b39f,0.0,#b19e8e,0.0,#ae3634
2951,0.84,#1c1410,0.1,#673129,0.02,#785d4a,0.02,#8c7766,0.01,#f3ede4,0.0,#b39d8b,0.0,#c7b39e,0.0,#af3735
2952,0.84,#1c1410,0.1,#6a352b,0.02,#785d49,0.02,#8b7665,0.01,#f3ede6,0.0,#ca8c78,0.0,#c8b3a0,0.0,#b53b38
2953,0.83,#1d1410,0.11,#69342a,0.02,#775e49,0.02,#8b7765,0.01,#f3ede4,0.0,#b58d78,0.0,#b24443,0.0,#c5b29d
2954,0.82,#1b130f,0.12,#6b2f27,0.02,#795e4a,0.02,#8b7765,0.01,#f3ede4,0.0,#b44644,0.0,#bf7e6e,0.0,#c5b29d
2955,0.83,#221610,0.13,#692e24,0.02,#775e47,0.01,#8b7562,0.0,#f1ebe1,0.0,#b4453f,0.0,#c97b68,0.0,#c25e4f
2956,0.84,#150e0c,0.1,#6f1818,0.03,#785c49,0.02,#694a35,0.01,#c96155,0.0,#ae3734,0.0,#e4a48c,0.0,#b4413e
2957,0.85,#120d0b,0.09,#711818,0.03,#674c38,0.02,#7c634f,0.01,#ca6458,0.0,#b03937,0.0,#d58e74,0.0,#d3a391
2958,0.86,#120d0b,0.08,#6f1717,0.03,#785f4c,0.02,#644936,0.01,#c76156,0.0,#ac3534,0.0,#c79b8b,0.0,#d28b77
2959,0.86,#120e0c,0.09,#6f1d1b,0.02,#7d6653,0.02,#69513e,0.01,#cb695c,0.0,#b23b39,0.0,#d0a995,0.0,#c99c84
2960,0.86,#120d0c,0.09,#6d1e1c,0.02,#7c6655,0.02,#6b533f,0.01,#ca6c5f,0.0,#b13a39,0.0,#d39c87,0.0,#c0ac9c
2961,0.87,#120e0c,0.09,#6e1c1a,0.02,#7d6653,0.02,#6a523d,0.01,#cb685b,0.0,#b23d3a,0.0,#d4af98,0.0,#be4746
2962,0.87,#130e0c,0.1,#6e231f,0.01,#735b45,0.01,#856e5c,0.01,#cd7163,0.0,#b6413e,0.0,#f1e7d1,0.0,#c2574a
2963,0.86,#120d0b,0.09,#6e1c1a,0.02,#69503c,0.02,#7d6553,0.01,#cb685b,0.0,#b13937,0.0,#cc9780,0.0,#c4a394
2964,0.86,#120d0c,0.09,#6e1d1b,0.02,#6a523f,0.02,#7e6654,0.01,#cc695d,0.0,#b03938,0.0,#ce9d86,0.0,#cdaa98
2965,0.86,#120d0b,0.09,#6f1c1b,0.02,#69503d,0.02,#7d6452,0.01,#cc685c,0.0,#b03938,0.0,#cca794,0.0,#c89982
2966,0.86,#110d0b,0.09,#6d1c1b,0.02,#7c6452,0.02,#68503d,0.01,#ca685c,0.0,#ae3837,0.0,#cfa693,0.0,#c29981
2967,0.86,#110d0c,0.09,#6d1e1c,0.02,#7c6453,0.02,#69513e,0.01,#cb6b5f,0.0,#af3939,0.0,#cda896,0.0,#bd4647
2968,0.87,#120e0c,0.08,#6f1b1b,0.02,#674f3c,0.02,#7a6352,0.01,#cc665d,0.0,#b23b3b,0.0,#dea993,0.0,#51493b
2969,0.86,#130d0b,0.08,#6f1b1a,0.02,#79604e,0.02,#654d3a,0.01,#ca655c,0.0,#af3737,0.0,#b74343,0.0,#cea090
2970,0.85,#120e0c,0.09,#6f1d1c,0.02,#7a6150,0.02,#684f3c,0.01,#ca6960,0.0,#af3938,0.0,#e19583,0.0,#d7a493
2971,0.85,#120d0c,0.09,#701b1a,0.03,#78604e,0.02,#664d3b,0.01,#cb6a61,0.0,#ae3435,0.0,#d89e90,0.0,#dc907f
2972,0.85,#130e0c,0.09,#721a1a,0.03,#795f4e,0.02,#664c3a,0.01,#cc675f,0.0,#b03738,0.0,#daa394,0.0,#de8e7e
2973,0.85,#130e0c,0.09,#711b1b,0.03,#785f4d,0.02,#654c3a,0.01,#cd685f,0.0,#b13939,0.0,#d6a294,0.0,#de907f
2974,0.85,#130d0c,0.08,#73181a,0.03,#765c4c,0.02,#634837,0.01,#ca625c,0.0,#dc9c8f,0.0,#514433,0.0,#b03538
2975,0.85,#130e0c,0.09,#701d1c,0.03,#795f4e,0.02,#654d3a,0.01,#cd685f,0.0,#af3637,0.0,#daa192,0.0,#b94144
2976,0.85,#130e0c,0.09,#721b1b,0.03,#79614e,0.03,#654d3a,0.01,#cc695f,0.0,#b13939,0.0,#dea494,0.0,#514837
2977,0.85,#130e0c,0.09,#711c1b,0.03,#79604e,0.02,#654c3a,0.01,#cd675e,0.0,#b13838,0.0,#dba192,0.0,#d1927e
2978,0.85,#130e0c,0.09,#711b1b,0.03,#765e4c,0.02,#634a38,0.01,#cb675d,0.0,#ae3636,0.0,#da9c8d,0.0,#4f4637
2979,0.85,#130e0b,0.09,#711c1a,0.03,#765f4c,0.02,#634c38,0.01,#ca695d,0.0,#af3534,0.0,#dda18e,0.0,#504737
2980,0.85,#130e0c,0.09,#711b1b,0.03,#765d4c,0.02,#624a38,0.01,#cc665e,0.0,#ae3334,0.0,#db9c8d,0.0,#504636
2981,0.85,#130e0c,0.09,#721a1a,0.03,#775e4c,0.02,#644b38,0.01,#ca665c,0.0,#b13837,0.0,#e0a291,0.0,#524637
2982,0.85,#130e0c,0.08,#711b1a,0.03,#765e4c,0.02,#644b39,0.01,#c8665c,0.0,#b23637,0.0,#daa08f,0.0,#514635
2983,0.84,#120d0b,0.09,#691e1b,0.03,#755e4b,0.02,#634b38,0.01,#c06258,0.0,#a73131,0.0,#b39e90,0.0,#b14142
2984,0.83,#110d0b,0.12,#681f1c,0.02,#77604d,0.02,#664e3b,0.01,#a22d2e,0.01,#bd645a,0.0,#af4544,0.0,#b9a997
2985,0.83,#120e0c,0.11,#6b1e1c,0.02,#78614e,0.02,#654e3b,0.01,#c4665e,0.0,#a73334,0.0,#bca696,0.0,#af4344
2986,0.83,#120e0c,0.1,#6e1c1a,0.03,#725c4a,0.02,#614a37,0.01,#c2645c,0.0,#a62e30,0.0,#c59b8c,0.0,#b13f40
2987,0.84,#120e0c,0.11,#6e1c1b,0.03,#765f4d,0.02,#644d3a,0.01,#c56860,0.0,#aa3436,0.0,#c89f92,0.0,#b14345
2988,0.84,#130f0d,0.1,#721c1c,0.02,#67503d,0.02,#7a6351,0.01,#c96a62,0.0,#b1393b,0.0,#d0a99a,0.0,#b54548
2989,0.84,#130f0c,0.1,#721a1a,0.03,#77604d,0.02,#644d3a,0.01,#c86860,0.0,#b03738,0.0,#514837,0.0,#d0a494
2990,0.84,#130f0c,0.1,#721b1b,0.03,#78604e,0.02,#654e3a,0.01,#cb6b62,0.0,#b13838,0.0,#d5a394,0.0,#b24544
2991,0.84,#130f0c,0.1,#701d1c,0.03,#77604e,0.02,#664e3b,0.01,#c6685f,0.0,#ae3838,0.0,#d0a596,0.0,#b24546
2992,0.82,#120e0c,0.12,#69201d,0.03,#78604d,0.02,#664e3b,0.01,#be685e,0.01,#a22b2c,0.0,#bca597,0.0,#ac4544
2993,0.81,#140f0c,0.14,#6a211d,0.03,#7b6250,0.02,#69503c,0.01,#a01d1f,0.0,#a67f69,0.0,#bcaa9a,0.0,#544246
2994,0.89,#16110d,0.06,#613e2f,0.03,#755e48,0.01,#8a7765,0.0,#f1ebe0,0.0,#b29c8d,0.0,#c4b09f,0.0,#654f55
2995,0.86,#16120e,0.09,#6d352c,0.03,#745e49,0.01,#8b7468,0.01,#efebe4,0.0,#b4988d,0.0,#c1b2a5,0.0,#b8a4b1
2996,0.81,#1e1a15,0.07,#614738,0.06,#f1ece7,0.04,#745e4b,0.02,#8c7669,0.01,#b29d96,0.0,#c6b2a4,0.0,#b4a6af
2997,0.78,#1e1b16,0.08,#f1ebe7,0.07,#614639,0.04,#725c4c,0.03,#897569,0.01,#b19e95,0.0,#c5b3a1,0.0,#b2a6b0
2998,0.8,#1c1915,0.08,#f1ebe6,0.06,#634439,0.03,#87776a,0.02,#6d5b4c,0.01,#b29f94,0.0,#c4b29f,0.0,#b5a6ae
2999,0.82,#1a1814,0.08,#f0eae6,0.05,#663f37,0.03,#88776a,0.01,#6b5a4e,0.01,#b19e93,0.0,#c4b2a0,0.0,#b2a5ae
